xt,yt,zt
-0.3853853,-0.30980417,-0.8691948
-0.15986608,-0.8322637,-0.53082955
-0.21095894,-0.96563196,-0.15182617
-0.16088931,-0.9761533,-0.14573723
-0.55717117,-0.7552998,-0.34508327
-0.57153654,-0.7249961,-0.38435215
-0.19241722,-0.5981698,-0.7779258
-0.29796827,-0.28646183,-0.9105793
-0.8297392,-0.13942918,-0.54045564
-0.83439815,-0.18572286,-0.5189286
-0.8561094,-0.14394782,-0.49634242
-0.8593284,-0.18923056,-0.47512785
-0.87894166,-0.14736941,-0.45359007
-0.9520615,-0.13240172,-0.27576926
-0.9357527,-0.13446857,-0.32601392
-0.5510047,-0.35585916,-0.7548232
-0.6831857,-0.6300316,-0.36921203
-0.18318747,-0.92691463,-0.32752356
-0.61771464,-0.54465234,-0.5672587
-0.4615654,-0.63513696,-0.61932075
-0.2611185,-0.95221317,-0.15845244
-0.6822564,-0.201989,-0.70265687
-0.70992225,-0.16439347,-0.6848249
-0.67518526,-0.15327404,-0.7215484
-0.921818,-0.34660873,-0.17353374
-0.16084115,-0.7165865,-0.67870015
-0.13596536,-0.32997656,-0.9341461
-0.14244951,-0.6171423,-0.7738498
-0.15311614,-0.57561994,-0.8032541
-0.14536518,-0.8599482,-0.48924214
-0.921569,-0.17962733,-0.34415784
-0.18113613,-0.87278974,-0.4532415
-0.13157879,-0.8850723,-0.4464685
-0.8629912,-0.43566403,-0.25581858
-0.13228825,-0.9378114,-0.3209513
-0.48653513,-0.83355576,-0.26166457
-0.10209551,-0.59252644,-0.799055
-0.37706837,-0.68839884,-0.61961806
-0.36610374,-0.7247951,-0.5836439
-0.54250914,-0.7831045,-0.304025
-0.17961416,-0.30310968,-0.9358757
-0.13636915,-0.2817844,-0.9497373
-0.83654535,-0.23089342,-0.49687037
-0.876116,-0.46611,-0.12313542
-0.85022676,-0.5083693,-0.13665663
-0.83802825,-0.5120531,-0.18844171
-0.82190347,-0.5485528,-0.15350728
-0.6463603,-0.66325545,-0.3772407
-0.6585513,-0.6280926,-0.41449967
-0.62113875,-0.66095483,-0.42110023
-0.63234097,-0.6245595,-0.4583344
-0.6696955,-0.5909259,-0.44979382
-0.47830203,-0.86830133,-0.131453
-0.13984972,-0.18987392,-0.97179735
-0.13055123,-0.13734213,-0.9818827
-0.24177176,-0.57734203,-0.77988625
-0.12858023,-0.9735901,-0.18865211
-0.38667148,-0.91355324,-0.12611808
-0.33924082,-0.93254185,-0.12361778
-0.59565836,-0.72629124,-0.34306303
